"cod_cent";"id";"nombre";"tipo_elem";"x";"y"
"02300";3888;"(MICRO) Pl, Conde Casa - Antes de Grupo16";"URB";"443101.915662666";"4473122.0615621"
"02301";3889;"(MICRO) Pl, Conde Casal - Antes del Grupo 15";"URB";"443170.57015358";"4473100.91516214"
"02302";7035;"(MICRO) Interior Dr, Esquerdo N-S - Delante Grupo1";"URB";"443215.154367974";"4474357.42160286"
"02303";3890;"(MICRO) Dr, Esquerdo N-S - Delante Grupo 1 Salida";"URB";"443214.867991132";"4474374.8938909"
"02304";7034;"(MICRO) Ibiza E-O - Dr, Esquedo-Maiquez(Delante Grupo 4)";"URB";"443137.580381043";"4474373.92736899"
"02305";10024;" Pl, Conde Casal - Delante del Grupo 12";"URB";"443166.796879702";"4473085.1921172"
"02500";7036;"Dr, Esquerdo S-N - Vaderribas-Garibay(Giro a Cavanilles)";"URB";"442926.434778779";"4472778.19979469"
"03001";9841;"Valle de Mena S-E - Acc,Ramon Castroviejo-Gta,Isaac Rab�n";"URB";"438338.115544704";"4480454.49708179"
"03002";9843;"Dr,Ramon Castroviejo O-E - Av,Miraflores-San Martin de Porres";"URB";"438098.880458143";"4480455.13738494"
"03003";9842;"Nueva Zelanda S-N - Isla Cristina-Gta,Isaac Rab�n";"URB";"438305.950926946";"4480365.97449961"
"03FL08PM01";1047;"03FL08PM01";"M30";"438846.338355986";"4474574.49256844"
"03FL08PM02";1046;"03FL08PM02";"M30";"438843.221284568";"4474528.21595208"
"03FL20PM01";6836;"03FL20PM01";"M30";"438803.701211802";"4474409.72805766"
"03FL56PM01";1010;"03FL56PM01";"M30";"438487.741512358";"4474217.82060848"
"03FT08PM01";1044;"03FT08PM01";"M30";"438853.916962984";"4474526.98398949"
"03FT52PM01";1009;"03FT52PM01";"M30";"438499.044503615";"4474208.99613704"
"04001";3909;"Concha Espina, 57 O-E - Serrano-Rodriguez Marin";"URB";"442328.472341156";"4478106.53458111"
"04002";3910;"Ramon y Cajal, 7 E-O - Principe Vergara-Marcenado";"URB";"442703.668178519";"4478108.85061351"
"04003";3911;"Principe Vergara, 207 S-N - Pradillo-Ramon y Cajal";"URB";"442534.685252877";"4477944.17351396"
"04004";3460;"Alfonso XIII, 51 N-S - Alhelies-Ramon y Cajal";"URB";"443412.198598478";"4478255.71204997"
"04005";3461;"Ramon y Cajal, 69 O-E - Gabriel Galan-Alfonso XIII";"URB";"443321.400033962";"4478184.78968115"
"04006";3912;"Ramon y Cajal E-O - P� de los Jacintos -Alfonso XIII";"URB";"443485.088615569";"4478182.52552084"
"04007";3913;"Principe Vergara N-S - Pl, Republica Ecuador-Concha Espina";"URB";"442556.784483026";"4478269.71793573"
"04008";3914;"Ram�n y Cajal O-E - Principe Vergara-Marcenado ";"URB";"442614.070599179";"4478104.31804049"
"04009";3915;"Principe Vergara N-S - Concha Espina-Pl, Catalu�a";"URB";"442533.724640823";"4478023.75062929"
"04010";3916;"Concha Espinal O-E - Rodriguez Marin-Principe Vergara";"URB";"442458.032126514";"4478107.1855427"
"04011";3917;"Ramon y Cajal E-O - Principe Vergara-Rodriguez Marin";"URB";"442489.997368006";"4478113.94188072"
"04012";3918;"Alfonso XIII S-N - Ramon y Cajal-Pintor Ribera";"URB";"443419.461376571";"4478260.52329487"
"04013";3919;"Ramon y  Cajal O-E - La Pedriza-Padre Claret";"URB";"443487.015542911";"4478170.46777174"
"04014";3920;"Alfonso XIII S-N - Carlos Pereira-Ramon y Caja";"URB";"443396.400618437";"4478077.13335997"
"04015";3921;"Ramon y Cajal(En el Puente) E-O - M-30 -P� de los  Jacintos";"URB";"443706.622412812";"4478250.24129854"
